,data_year,pub_agency_name,agency_type_name,state_name,division_name,county_name,region_name,population_group_desc,offense_name,offender_race,offender_ethnicity,offender_age,offender_sex,victim_type_name,location_name,weapon_name,prop_desc_name,stolen_value,recovered_value,date_recovered
46886,2020,Winston-Salem,City,North Carolina,South Atlantic,FORSYTH,South,"Cities from 250,000 thru 499,999",All Other Larceny,White,Not Hispanic or Latino,33.0,F,Individual,Specialty Store,Unknown,Identity Documents,0.0,0,2020-11-19
46887,2020,Winston-Salem,City,North Carolina,South Atlantic,FORSYTH,South,"Cities from 250,000 thru 499,999",All Other Larceny,White,Not Hispanic or Latino,33.0,F,Individual,Specialty Store,Unknown,Purse/ Wallet,20.0,20,2020-11-19
46888,2020,Winston-Salem,City,North Carolina,South Atlantic,FORSYTH,South,"Cities from 250,000 thru 499,999",All Other Larceny,White,Not Hispanic or Latino,33.0,F,Individual,Specialty Store,Unknown,Money,7.0,7,2020-11-19
46890,2020,Winston-Salem,City,North Carolina,South Atlantic,FORSYTH,South,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Automobile,2000.0,2000,2020-11-21
46893,2020,Franklin,City,North Carolina,South Atlantic,MACON,South,"Cities from 2,500 thru 9,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Automobile,10000.0,10000,2020-11-02
46911,2020,Sanford,City,North Carolina,South Atlantic,LEE,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,White,Not Hispanic or Latino,27.0,F,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Other,100.0,100,2020-07-27
46912,2020,Sanford,City,North Carolina,South Atlantic,LEE,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,White,Not Hispanic or Latino,27.0,F,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Credit/ Debit cards,0.0,0,2020-07-27
46913,2020,Sanford,City,North Carolina,South Atlantic,LEE,South,"Cities from 25,000 thru 49,999",Stolen Property Offenses,White,Not Hispanic or Latino,27.0,F,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Other,100.0,100,2020-07-27
46914,2020,Sanford,City,North Carolina,South Atlantic,LEE,South,"Cities from 25,000 thru 49,999",Stolen Property Offenses,White,Not Hispanic or Latino,27.0,F,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Credit/ Debit cards,0.0,0,2020-07-27
46915,2020,Sanford,City,North Carolina,South Atlantic,LEE,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,White,Unknown,19.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Other,100.0,100,2020-07-27
46916,2020,Sanford,City,North Carolina,South Atlantic,LEE,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,White,Unknown,19.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Credit/ Debit cards,0.0,0,2020-07-27
46917,2020,Sanford,City,North Carolina,South Atlantic,LEE,South,"Cities from 25,000 thru 49,999",Stolen Property Offenses,White,Unknown,19.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Other,100.0,100,2020-07-27
46918,2020,Sanford,City,North Carolina,South Atlantic,LEE,South,"Cities from 25,000 thru 49,999",Stolen Property Offenses,White,Unknown,19.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Credit/ Debit cards,0.0,0,2020-07-27
46952,2020,Manteo,City,North Carolina,South Atlantic,DARE,South,"Cities under 2,500",Motor Vehicle Theft,Asian,Not Hispanic or Latino,45.0,M,Business,Commercial/Office Building,Unknown,Trucks,24000.0,24000,2020-02-26
46953,2020,Manteo,City,North Carolina,South Atlantic,DARE,South,"Cities under 2,500",Motor Vehicle Theft,Asian,Not Hispanic or Latino,45.0,M,Business,Commercial/Office Building,Unknown,Household Goods,3247.0,3247,2020-03-24
46954,2020,Manteo,City,North Carolina,South Atlantic,DARE,South,"Cities under 2,500",All Other Larceny,Asian,Not Hispanic or Latino,45.0,M,Business,Commercial/Office Building,Unknown,Trucks,24000.0,24000,2020-02-26
46955,2020,Manteo,City,North Carolina,South Atlantic,DARE,South,"Cities under 2,500",All Other Larceny,Asian,Not Hispanic or Latino,45.0,M,Business,Commercial/Office Building,Unknown,Household Goods,3247.0,3247,2020-03-24
