,data_year,pub_agency_name,agency_type_name,state_name,division_name,county_name,region_name,population_group_desc,offense_name,offender_race,offender_ethnicity,offender_age,offender_sex,victim_type_name,location_name,weapon_name,prop_desc_name,stolen_value,recovered_value,date_recovered
16,2021,Lee,County,Alabama,East South Central,LEE,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Credit/ Debit cards,0.0,0,2021-10-26
45,2021,Berkeley,County,West Virginia,South Atlantic,BERKELEY,South,"MSA counties 100,000 or over",All Other Larceny,White,Not Specified,32.0,M,Individual,Other/Unknown,Unknown,Other,5000.0,5000,2021-11-29
51,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,White,Not Hispanic or Latino,16.0,F,Individual,Residence/Home,Unknown,Automobile,12000.0,12000,2021-10-17
54,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,White,Not Hispanic or Latino,52.0,M,Individual,Residence/Home,Unknown,Automobile,11000.0,11000,2021-09-24
75,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Automobile,20000.0,20000,2021-12-31
93,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Business,Hotel/Motel/Etc.,Unknown,Trucks,15000.0,15000,2021-10-28
97,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Business,Parking/Drop Lot/Garage,Unknown,Trucks,15000.0,15000,2021-10-28
101,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Individual,Hotel/Motel/Etc.,Unknown,Trucks,15000.0,15000,2021-10-28
105,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Trucks,15000.0,15000,2021-10-28
115,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Theft From Building,Unknown,Unknown,99.0,U,Individual,Commercial/Office Building,Unknown,Portable Electronic Communications,450.0,450,2021-09-27
116,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Theft From Building,Unknown,Unknown,99.0,U,Individual,Commercial/Office Building,Unknown,Credit/ Debit cards,0.0,0,2021-09-27
117,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",All Other Larceny,Unknown,Unknown,99.0,U,Individual,Commercial/Office Building,Unknown,Portable Electronic Communications,450.0,450,2021-09-27
118,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",All Other Larceny,Unknown,Unknown,99.0,U,Individual,Commercial/Office Building,Unknown,Credit/ Debit cards,0.0,0,2021-09-27
136,2021,Ward,County,Texas,West South Central,WARD,South,"Non-MSA counties under 10,000",Motor Vehicle Theft,White,Hispanic or Latino,26.0,M,Individual,Residence/Home,Unknown,Trucks,30000.0,30000,2021-11-01
137,2021,Prairie View ,City,Texas,West South Central,WALLER,South,"Cities from 2,500 thru 9,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Other Motor Vehicles,4000.0,4000,2021-07-13
142,2021,Lake Jackson,City,Texas,West South Central,BRAZORIA,South,"Cities from 25,000 thru 49,999",All Other Larceny,Unknown,Unknown,0.0,U,Business,Highway/Road/Alley/Street/Sidewalk,Unknown,Other,50.0,50,2021-11-25
143,2021,Fairfield,City,Texas,West South Central,FREESTONE,South,"Cities from 2,500 thru 9,999",All Other Larceny,White,Hispanic or Latino,61.0,M,Individual,Other/Unknown,Unknown,Trailers,22000.0,22000,2021-03-12
151,2021,Kingsville,City,Texas,West South Central,KLEBERG,South,"Cities from 10,000 thru 24,999",All Other Larceny,Black or African American,Not Hispanic or Latino,18.0,M,Business,Other/Unknown,Unknown,Other,185.0,185,2022-01-01
152,2021,Kingsville,City,Texas,West South Central,KLEBERG,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Hispanic or Latino,36.0,M,Business,Grocery/Supermarket,Unknown,Consumable Goods,563.0,563,2021-12-14
167,2021,Matagorda,County,Texas,West South Central,MATAGORDA,South,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,White,Unknown,47.0,M,Individual,Commercial/Office Building,Unknown,Other,25.0,25,2021-11-25
196,2021,Parsippany-Troy Hills Township,City,New Jersey,Middle Atlantic,MORRIS,Northeast,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Business,Parking/Drop Lot/Garage,Unknown,Automobile,3500.0,3500,2021-06-17
211,2021,Gastonia,City,North Carolina,South Atlantic,GASTON,South,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Other/Unknown,Unknown,Automobile,10000.0,10000,2021-12-24
224,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,White,Not Hispanic or Latino,31.0,M,Individual,Convenience Store,Unknown,Other,1.0,1,2021-05-10
225,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,White,Not Hispanic or Latino,31.0,M,Individual,Convenience Store,Unknown,Buses,1000.0,1000,2021-05-10
226,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Convenience Store,Unknown,Other,1.0,1,2021-05-10
227,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Convenience Store,Unknown,Buses,1000.0,1000,2021-05-10
228,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,Black or African American,Unknown,16.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Other,50.0,50,2021-05-31
229,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,White,Unknown,14.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Other,50.0,50,2021-05-31
230,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,Black or African American,Not Hispanic or Latino,18.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Other,50.0,50,2021-05-31
232,2021,Dallas,City,Texas,West South Central,"COLLIN, DALLAS, DENTON",South,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Not Specified,0.0,U,Business,Commercial/Office Building,Unknown,Trailers,6000.0,6000,2021-04-12
233,2021,Dallas,City,Texas,West South Central,"COLLIN, DALLAS, DENTON",South,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Not Specified,0.0,U,Business,Commercial/Office Building,Unknown,Other,5000.0,5000,2021-04-12
347,2021,Columbus,City,Ohio,East North Central,"DELAWARE, FAIRFIELD, FRANKLIN",Midwest,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,Black or African American,Not Specified,50.0,M,Individual,Residence/Home,Unknown,Office Equipment,800.0,800,2021-03-25
348,2021,Columbus,City,Ohio,East North Central,"DELAWARE, FAIRFIELD, FRANKLIN",Midwest,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,Black or African American,Not Specified,50.0,M,Individual,Residence/Home,Unknown,Automobile,20000.0,20000,2021-03-25
373,2021,Darlington,County,South Carolina,South Atlantic,DARLINGTON,South,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,Black or African American,Not Hispanic or Latino,17.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,Handgun,Automobile,10000.0,10000,2021-03-06
375,2021,Darlington,County,South Carolina,South Atlantic,DARLINGTON,South,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,Black or African American,Not Hispanic or Latino,17.0,M,Society/Public,Highway/Road/Alley/Street/Sidewalk,Handgun,Automobile,10000.0,10000,2021-03-06
404,2021,Jackson,County,West Virginia,South Atlantic,JACKSON,South,"MSA counties from 10,000 thru 24,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,6000.0,5500,2021-02-20
414,2021,Jackson,County,West Virginia,South Atlantic,JACKSON,South,"MSA counties from 10,000 thru 24,999",All Other Larceny,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,6000.0,5500,2021-02-20
415,2021,Columbus,City,Georgia,South Atlantic,MUSCOGEE,South,"Cities from 100,000 thru 249,999",Theft From Motor Vehicle,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Other,300.0,300,2021-01-14
421,2021,Columbus,City,Georgia,South Atlantic,MUSCOGEE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,21500.0,21500,2021-01-15
486,2021,Strafford,City,Missouri,West North Central,"GREENE, WEBSTER",Midwest,"Cities from 2,500 thru 9,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,27.0,M,Individual,Rental Storage Facility,Unknown,Musical Instruments,200.0,200,2021-02-19
487,2021,Strafford,City,Missouri,West North Central,"GREENE, WEBSTER",Midwest,"Cities from 2,500 thru 9,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,27.0,M,Individual,Rental Storage Facility,Unknown,Chemicals,100.0,100,2021-02-19
488,2021,Strafford,City,Missouri,West North Central,"GREENE, WEBSTER",Midwest,"Cities from 2,500 thru 9,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,27.0,M,Individual,Rental Storage Facility,Unknown,Tools,185.0,185,2021-02-19
507,2021,Kearney,City,Nebraska,West North Central,BUFFALO,Midwest,"Cities from 25,000 thru 49,999",Robbery,White,Not Hispanic or Latino,35.0,M,Individual,Residence/Home,Personal Weapons,Money,500.0,500,2021-12-18
540,2021,Texas,County,Missouri,West North Central,TEXAS,Midwest,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,White,Unknown,0.0,M,Business,Commercial/Office Building,Unknown,Automobile,14000.0,11700,2021-11-29
545,2021,Texas,County,Missouri,West North Central,TEXAS,Midwest,"Non-MSA counties from 10,000 thru 24,999",Motor Vehicle Theft,White,Unknown,0.0,M,Business,Commercial/Office Building,Unknown,Automobile,14000.0,11700,2021-11-29
552,2021,D'Iberville,City,Mississippi,East South Central,HARRISON,South,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,Black or African American,Not Hispanic or Latino,18.0,M,Individual,Residence/Home,Unknown,Automobile,9425.0,9425,2021-07-06
553,2021,D'Iberville,City,Mississippi,East South Central,HARRISON,South,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,Black or African American,Not Hispanic or Latino,16.0,M,Individual,Residence/Home,Unknown,Automobile,9425.0,9425,2021-07-06
656,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",All Other Larceny,White,Not Hispanic or Latino,38.0,F,Other,Gambling Facility/Casino/Race Track,Unknown,Purse/ Wallet,2295.0,2295,2021-01-17
657,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Business,Commercial/Office Building,Unknown,Trucks,45000.0,45000,2021-01-29
665,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",All Other Larceny,White,Not Hispanic or Latino,26.0,M,Business,Construction Site,Unknown,Building Materials,2500.0,2500,2021-02-05
668,2021,San Diego,County,California,Pacific,SAN DIEGO,West,"MSA counties 100,000 or over",Identity Theft,White,Hispanic or Latino,34.0,M,Individual,Specialty Store,Unknown,Automobile,80000.0,80000,2022-02-16
669,2021,San Diego,County,California,Pacific,SAN DIEGO,West,"MSA counties 100,000 or over",Motor Vehicle Theft,White,Hispanic or Latino,34.0,M,Individual,Residence/Home,Unknown,Automobile,80000.0,80000,2022-02-16
670,2021,San Diego,County,California,Pacific,SAN DIEGO,West,"MSA counties 100,000 or over",Identity Theft,White,Hispanic or Latino,35.0,M,Individual,Specialty Store,Unknown,Automobile,80000.0,80000,2022-02-16
671,2021,San Diego,County,California,Pacific,SAN DIEGO,West,"MSA counties 100,000 or over",Motor Vehicle Theft,White,Hispanic or Latino,35.0,M,Individual,Residence/Home,Unknown,Automobile,80000.0,80000,2022-02-16
688,2021,Putnam,County,Tennessee,East South Central,PUTNAM,South,"Non-MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,Unknown,0.0,U,Individual,Construction Site,Unknown,Building Materials,4260.0,4260,2021-12-08
691,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,2000.0,2000,2021-02-22
692,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,15000.0,15000,2021-03-07
693,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,15000.0,15000,2021-03-07
694,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Automobile,2000.0,2000,2021-02-23
703,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,15000.0,15000,2021-03-12
707,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,15000.0,15000,2021-03-12
726,2021,Gadsden,City,Alabama,East South Central,ETOWAH,South,"Cities from 25,000 thru 49,999",Motor Vehicle Theft,Black or African American,Unknown,0.0,M,Individual,Church/Synagogue/Temple/Mosque,Unknown,Automobile,7000.0,7000,2021-08-26
736,2021,Waynesboro,City,Pennsylvania,Middle Atlantic,FRANKLIN,Northeast,"Cities from 10,000 thru 24,999",All Other Larceny,Black or African American,Not Hispanic or Latino,27.0,F,Individual,Residence/Home,Unknown,Money,900.0,900,2021-03-28
747,2021,Memphis,City,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Business,Dock/Wharf/Freight/Modal Terminal,Unknown,Radio/ TV/ VCR,866.0,866,2021-07-04
770,2021,Memphis,City,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Burglary/Breaking & Entering,Black or African American,Not Hispanic or Latino,0.0,M,Business,Air/Bus/Train Terminal,Unknown,Radio/ TV/ VCR,30000.0,30000,2021-10-21
772,2021,Seagoville,City,Texas,West South Central,"DALLAS, KAUFMAN",South,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Commercial/Office Building,Unknown,Trailers,13000.0,13000,2021-03-18
774,2021,Seagoville,City,Texas,West South Central,"DALLAS, KAUFMAN",South,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Commercial/Office Building,Unknown,Trucks,16000.0,16000,2021-03-25
786,2021,Memphis,City,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Business,Air/Bus/Train Terminal,Unknown,Recreational/ Sports Equipment,26000.0,24000,2021-11-05
787,2021,Memphis,City,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Business,Parking/Drop Lot/Garage,Unknown,Radio/ TV/ VCR,400.0,400,2021-11-04
790,2021,Waterloo,City,Iowa,West North Central,BLACK HAWK,Midwest,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,White,Not Hispanic or Latino,37.0,M,Individual,Residence/Home,Unknown,Automobile,1.0,1,2021-06-01
792,2021,San Diego,City,California,Pacific,SAN DIEGO,West,"Cities 1,000,000 or over",Burglary/Breaking & Entering,White,Hispanic or Latino,40.0,F,Individual,Hotel/Motel/Etc.,Unknown,Purse/ Wallet,100.0,100,2021-05-07
794,2021,San Diego,City,California,Pacific,SAN DIEGO,West,"Cities 1,000,000 or over",Burglary/Breaking & Entering,White,Hispanic or Latino,40.0,F,Individual,Hotel/Motel/Etc.,Unknown,Clothes/ Furs,200.0,200,2021-05-07
811,2021,Bryant,City,Arkansas,West South Central,SALINE,South,"Cities from 10,000 thru 24,999",All Other Larceny,Unknown,Unknown,0.0,U,Business,Commercial/Office Building,Unknown,Trailers,12000.0,12000,2021-10-12
828,2021,Polk,County,North Carolina,South Atlantic,POLK,South,"Non-MSA counties from 10,000 thru 24,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,1200.0,1200,2021-06-07
883,2021,Dublin,City,Ohio,East North Central,"DELAWARE, FRANKLIN, UNION",Midwest,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Business,Service/Gas Station,Unknown,Automobile,53900.0,53900,2021-11-06
913,2021,Trident Technical College,University or College,South Carolina,South Atlantic,CHARLESTON,South,"Cities under 2,500",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,School-College/University,Unknown,Tools,1500.0,1500,2021-04-09
916,2021,Trident Technical College,University or College,South Carolina,South Atlantic,CHARLESTON,South,"Cities under 2,500",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,School-College/University,Unknown,Computer Hard/ Software,1000.0,1000,2021-04-09
917,2021,Trident Technical College,University or College,South Carolina,South Atlantic,CHARLESTON,South,"Cities under 2,500",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,School-College/University,Unknown,Automobile,22000.0,22000,2021-04-09
919,2021,Trident Technical College,University or College,South Carolina,South Atlantic,CHARLESTON,South,"Cities under 2,500",All Other Larceny,Unknown,Unknown,0.0,U,Individual,School-College/University,Unknown,Tools,1500.0,1500,2021-04-09
922,2021,Trident Technical College,University or College,South Carolina,South Atlantic,CHARLESTON,South,"Cities under 2,500",All Other Larceny,Unknown,Unknown,0.0,U,Individual,School-College/University,Unknown,Computer Hard/ Software,1000.0,1000,2021-04-09
923,2021,Trident Technical College,University or College,South Carolina,South Atlantic,CHARLESTON,South,"Cities under 2,500",All Other Larceny,Unknown,Unknown,0.0,U,Individual,School-College/University,Unknown,Automobile,22000.0,22000,2021-04-09
929,2021,Columbus,City,Ohio,East North Central,"DELAWARE, FAIRFIELD, FRANKLIN",Midwest,"Cities from 500,000 thru 999,999",All Other Larceny,Unknown,Unknown,0.0,U,Individual,School-Elementary/Secondary,Unknown,Trailers,2500.0,2500,2021-07-19
953,2021,Valencia,County,New Mexico,Mountain,VALENCIA,West,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Recreational Vehicles,5000.0,5000,2021-04-03
954,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Restaurant,Unknown,Automobile,2500.0,2500,2021-03-28
955,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,30.0,U,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Trailers,2000.0,2000,2021-04-03
956,2021,Las Vegas Metropolitan Police Department,City,Nevada,Mountain,CLARK,West,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,30.0,U,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Other Motor Vehicles,9000.0,9000,2021-04-01
958,2021,Belmont,County,Ohio,East North Central,BELMONT,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,White,Not Specified,39.0,F,Individual,Convenience Store,Unknown,Automobile,40000.0,40000,2021-06-30
959,2021,Belmont,County,Ohio,East North Central,BELMONT,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,White,Not Specified,34.0,M,Individual,Convenience Store,Unknown,Automobile,40000.0,40000,2021-06-30
966,2021,Carlsbad,City,California,Pacific,SAN DIEGO,West,"Cities from 100,000 thru 249,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,36.0,F,Individual,Residence/Home,Unknown,Other,166.0,4,2021-05-26
967,2021,Carlsbad,City,California,Pacific,SAN DIEGO,West,"Cities from 100,000 thru 249,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,36.0,F,Individual,Residence/Home,Unknown,Household Goods,100.0,100,2021-05-26
970,2021,Carlsbad,City,California,Pacific,SAN DIEGO,West,"Cities from 100,000 thru 249,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,39.0,M,Individual,Residence/Home,Unknown,Other,166.0,4,2021-05-26
971,2021,Carlsbad,City,California,Pacific,SAN DIEGO,West,"Cities from 100,000 thru 249,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,39.0,M,Individual,Residence/Home,Unknown,Household Goods,100.0,100,2021-05-26
1016,2021,Buncombe,County,North Carolina,South Atlantic,BUNCOMBE,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,White,Unknown,20.0,M,Individual,Residence/Home,Unknown,Firearms,3000.0,600,2021-06-25
1026,2021,Buncombe,County,North Carolina,South Atlantic,BUNCOMBE,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,White,Not Hispanic or Latino,27.0,M,Individual,Residence/Home,Unknown,Firearms,3000.0,600,2021-06-25
1036,2021,Buncombe,County,North Carolina,South Atlantic,BUNCOMBE,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,White,Not Hispanic or Latino,40.0,F,Individual,Residence/Home,Unknown,Firearms,3000.0,600,2021-06-25
1043,2021,Jersey City,City,New Jersey,Middle Atlantic,HUDSON,Northeast,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,Black or African American,Not Hispanic or Latino,22.0,F,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Automobile,26000.0,15000,2021-02-25
1044,2021,Jersey City,City,New Jersey,Middle Atlantic,HUDSON,Northeast,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,Black or African American,Unknown,22.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Automobile,26000.0,15000,2021-02-25
1112,2021,Atlanta,City,Georgia,South Atlantic,"DEKALB, FULTON",South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,Black or African American,Not Hispanic or Latino,16.0,M,Individual,Residence/Home,Unknown,Automobile,1.0,1,2021-05-01
1207,2021,St. Mary's,County,Maryland,South Atlantic,ST MARY'S,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,White,Not Hispanic or Latino,18.0,M,Individual,Residence/Home,Unknown,Automobile,5000.0,5000,2021-11-28
1209,2021,St. Mary's,County,Maryland,South Atlantic,ST MARY'S,South,"MSA counties 100,000 or over",Motor Vehicle Theft,White,Not Hispanic or Latino,18.0,M,Individual,Residence/Home,Unknown,Automobile,5000.0,5000,2021-11-28
1248,2021,Atlanta,City,Georgia,South Atlantic,"DEKALB, FULTON",South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,Unknown,Unknown,45.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Computer Hard/ Software,1.0,1,2021-05-05
1273,2021,Lander University,University or College,South Carolina,South Atlantic,GREENWOOD,South,"Cities under 2,500",Credit Card/Automated Teller Machine Fraud,Unknown,Hispanic or Latino,20.0,M,Individual,Service/Gas Station,Unknown,Purse/ Wallet,15.0,15,2021-08-27
1276,2021,Lander University,University or College,South Carolina,South Atlantic,GREENWOOD,South,"Cities under 2,500",All Other Larceny,Unknown,Hispanic or Latino,20.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Purse/ Wallet,15.0,15,2021-08-27
1279,2021,Lander University,University or College,South Carolina,South Atlantic,GREENWOOD,South,"Cities under 2,500",Theft From Motor Vehicle,Unknown,Hispanic or Latino,20.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Purse/ Wallet,15.0,15,2021-08-27
1290,2021,San Diego,County,California,Pacific,SAN DIEGO,West,"MSA counties 100,000 or over",Theft From Motor Vehicle,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Other,140.0,100,2022-02-18
1318,2021,Johnston,County,North Carolina,South Atlantic,JOHNSTON,South,"MSA counties 100,000 or over",Motor Vehicle Theft,Black or African American,Unknown,34.0,M,Individual,Residence/Home,Unknown,Automobile,8000.0,8000,2021-01-23
1383,2021,Morganton,City,North Carolina,South Atlantic,BURKE,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Unknown,28.0,M,Business,Drug Store/Doctor's Office/Hospital,Unknown,Other,667.0,667,2021-02-11
1384,2021,Morganton,City,North Carolina,South Atlantic,BURKE,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Not Hispanic or Latino,29.0,F,Business,Drug Store/Doctor's Office/Hospital,Unknown,Other,667.0,667,2021-02-11
1385,2021,Morganton,City,North Carolina,South Atlantic,BURKE,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Unknown,32.0,F,Business,Drug Store/Doctor's Office/Hospital,Unknown,Other,667.0,667,2021-02-11
1386,2021,Shelby,City,North Carolina,South Atlantic,CLEVELAND,South,"Cities from 10,000 thru 24,999",False Pretenses/Swindle/Confidence Game,White,Unknown,19.0,M,Business,Specialty Store,Unknown,Other,3500.0,3500,2021-01-19
1388,2021,Shelby,City,North Carolina,South Atlantic,CLEVELAND,South,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Other Motor Vehicles,1000.0,1000,2021-05-31
1396,2021,Johnston,County,North Carolina,South Atlantic,JOHNSTON,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Credit/ Debit cards,0.0,0,2021-07-12
1399,2021,Channahon,City,Illinois,East North Central,"GRUNDY, WILL",Midwest,"Cities from 10,000 thru 24,999",All Other Larceny,Unknown,Unknown,0.0,U,Business,Other/Unknown,Unknown,Trailers,20000.0,1,2021-08-30
1401,2021,Greensboro,City,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Business,Specialty Store,Unknown,Office Equipment,2450.0,490,2021-02-28
1404,2021,Greensboro,City,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Theft From Building,Unknown,Unknown,0.0,U,Business,Auto Dealership New/Used,Unknown,Other,5.0,5,2021-02-28
